T / K,k_L / W m^-1 K^-1
0,0
10,178.7795689
20,32.48573947
30,20.93289314
40,16.58051836
50,13.87397312
60,11.92572823
70,10.44159003
80,9.273584502
90,8.33229099
100,7.559039265
110,6.913526374
120,6.367169446
130,5.899177981
140,5.494101847
150,5.140242626
160,4.828594404
170,4.552120406
180,4.305248542
190,4.083512954
200,3.883294972
210,3.701632992
220,3.53608096
230,3.384601655
240,3.245485257
250,3.117286511
260,2.998775747
270,2.888900335
280,2.786754084
290,2.691552748
300,2.602614265
310,2.51934271
320,2.441215158
330,2.367770882
340,2.298602401
350,2.233348026
360,2.171685626
370,2.113327376
380,2.058015322
390,2.005517614
400,1.955625291
410,1.908149533
420,1.862919297
430,1.819779276
440,1.778588133
450,1.739216971
460,1.701547992
470,1.665473333
480,1.63089404
490,1.597719171
500,1.565864997
510,1.535254308
520,1.505815789
530,1.477483466
540,1.450196221
550,1.42389735
560,1.398534173
570,1.374057686
580,1.350422242
590,1.327585272
600,1.305507029
610,1.284150358
620,1.263480489
630,1.243464848
640,1.224072888
650,1.205275931
660,1.187047031
670,1.169360842
680,1.152193504
690,1.135522533
700,1.119326725
710,1.103586066
720,1.08828165
730,1.073395603
740,1.058911012
750,1.044811864
760,1.031082987
770,1.017709994
780,1.004679231
790,0.991977736
800,0.979593192
810,0.967513889
820,0.955728684
830,0.944226974
840,0.932998655
850,0.9220341
860,0.911324127
870,0.900859976
880,0.890633284
890,0.880636063
900,0.870860678
910,0.861299831
920,0.851946538
930,0.842794117
940,0.833836168
950,0.82506656
960,0.816479419
970,0.80806911
980,0.799830229
990,0.79175759
1000,0.783846213
